sex;race;LSAT;UGPA;ZFYA;race_sex;k;new_k
0;0;2.061424325;0.177247714;-0.72;0;7;1
0;0;2.061424325;-1.995762507;0.57;0;9;2
0;0;2.061424325;-1.271425766;-0.55;0;10;3
0;2;2.061424325;1.384475615;1.5;2;18;4
0;5;2.061424325;-0.064197866;-0.84;5;198;5
0;2;2.061424325;1.625921195;0.89;2;52;6
0;6;2.061424325;1.625921195;1.89;6;144;7
1;0;2.061424325;-2.237208087;0.8;8;1;8
0;5;2.061424325;1.384475615;-0.32;5;200;9
1;0;2.061424325;1.143030035;1.26;8;2;10
1;0;2.061424325;0.901584455;0.93;8;3;11
1;2;2.061424325;1.143030035;0.2;10;51;12
1;4;2.061424325;-0.547089026;0.55;12;138;13
1;6;2.061424325;0.660138875;-0.03;14;66;14
0;1;1.510615277;-1.271425766;-1.01;1;1154;15
1;0;2.061424325;0.418693295;1.44;8;5;16
1;7;1.510615277;-0.305643446;-0.25;15;1462;17
1;4;2.061424325;1.384475615;0.84;12;169;18
1;5;1.327012261;0.177247714;0.16;13;1842;19
0;4;2.061424325;-0.305643446;0.99;4;4;20
0;7;1.877821309;-1.029980186;-1.13;7;471;21
1;5;1.327012261;1.384475615;0.67;13;2073;22
1;0;2.061424325;1.143030035;2.42;8;6;23
1;0;2.061424325;-0.064197866;0.58;8;8;24
1;2;2.061424325;0.660138875;2.41;10;109;25
0;6;1.877821309;-1.754316926;0.59;6;405;26
1;6;2.061424325;-0.064197866;0.87;14;74;27
1;1;1.143409245;-1.754316926;-0.02;9;3039;28
1;0;2.061424325;-0.788534606;1.79;8;14;29
1;0;2.061424325;0.177247714;-0.19;8;15;30
0;3;1.877821309;-1.754316926;-0.47;3;399;31
0;5;1.877821309;1.625921195;2.59;5;568;32
0;5;1.877821309;-1.271425766;0.08;5;591;33
1;4;1.877821309;1.384475615;-0.13;12;534;34
0;6;1.877821309;1.143030035;0.6;6;524;35
1;3;1.694218293;-0.064197866;0.41;11;859;36
